maker,model,fuel,engine,price,inspection
Toyota,AQUA "X",34.3,1.49,2486000,100000
Toyota,AQUA "X" E-Four,30,1.49,2684000,100000
Toyota,AQUA "G",33.6,1.49,2654300,100000
Toyota,AQUA "G" E-Four,30,1.49,2852300,100000
Toyota,AQUA "Z",33.6,1.49,2824800,100000
Toyota,AQUA "Z" E-Four,30,1.49,3022800,100000
Toyota,YARIS "X",22,1.49,1470000,95000
Toyota,YARIS "G",22,1.49,1850000,95000
Toyota,YARIS "Z",35.4,1.49,2669700,95000
Toyota,YARIS "Z" E-Four,30.2,1.49,2884200,95000
Toyota,YARIS "Z" 2WD,20.3,1.49,2301200,95000
Toyota,YARIS "Z" 4WD,18.6,1.49,2515700,95000
Toyota,YARIS "Z" 6MT,19.1,1.49,2197800,95000
Toyota,YARIS CROSS "X",30.8,1.49,2510200,105000
Toyota,YARIS CROSS "X" E-Four,28.6,1.49,2757700,105000
Toyota,YARIS CROSS "X" 2WD,18.9,1.49,2126300,105000
Toyota,YARIS CROSS "X" 4WD,17.6,1.49,2373800,105000
Toyota,YARIS CROSS "G",30.2,1.49,2712600,105000
Toyota,YARIS CROSS "G" E-Four,28.1,1.49,2960100,105000
Toyota,YARIS CROSS "G" 2WD,18.8,1.49,2341900,105000
Toyota,YARIS CROSS "G" 4WD,17.6,1.49,2589400,105000
Toyota,YARIS CROSS "Z",27.8,1.49,2992000,105000
Toyota,YARIS CROSS "Z" E-Four,26,1.49,3239500,105000
Toyota,YARIS CROSS "Z" 2WD,17.9,1.49,2621300,105000
Toyota,YARIS CROSS "Z" 4WD,16.7,1.49,2984300,105000
Toyota,YARIS CROSS "Z Adventure",27.8,1.49,3107500,105000
Toyota,YARIS CROSS "Z Adventure" E-Four,26,1.49,3355000,105000
Toyota,YARIS CROSS "Z Adventure" 2WD,17.9,1.49,2736800,105000
Toyota,YARIS CROSS "Z Adventure" 4WD,16.7,1.49,2984300,105000
Toyota,RAIZE "X" 2WD,20.7,1.196,1800700,100000
Toyota,RAIZE "X" 4WD,17.4,0.996,2079000,100000
Toyota,RAIZE "G",28.0,1.196,2263800,100000
Toyota,RAIZE "G" 2WD,20.7,1.196,1958000,100000
Toyota,RAIZE "G" 4WD,17.4,0.996,2235200,100000
Toyota,RAIZE "Z",28.0,1.196,2442000,100000
Toyota,RAIZE "Z" 2WD,20.7,1.196,2152700,100000
Toyota,RAIZE "Z" 4WD,17.4,0.996,2413400,100000
Toyota,ROOMY "X" 2WD,18.4,0.996,1742400,95000
Toyota,ROOMY "X" 4WD,16.8,0.996,1918400,95000
Toyota,ROOMY "G" 2WD,18.4,0.996,1939300,95000
Toyota,ROOMY "G" 4WD,16.8,0.996,2115300,95000
Toyota,ROOMY "G-T",16.8,0.996,2065800,95000
Toyota,ROOMY "CUSTOM G" 2WD,18.4,0.996,2118600,95000
Toyota,ROOMY "CUSTOM G" 4WD,16.8,0.996,2294600,95000
Toyota,ROOMY "CUSTOM G-T",16.8,0.996,2257200,95000
Toyota,PIXIS EPOCH "B SA3" 2WD,25.0,0.658,992200,80000
Toyota,PIXIS EPOCH "B SA3" 4WD,23.2,0.658,1118700,80000
Toyota,PIXIS EPOCH "L SA3" 2WD,25.0,0.658,1025200,80000
Toyota,PIXIS EPOCH "L SA3" 4WD,23.2,0.658,1151700,80000
